"Enabled","Enabled"
"New order status","New order status"
"Title","Title"
"Seller ID","Seller ID"
"Secret Key","Secret Key"
"Payment due date","Payment due date"
"Communication Url","Communication Url"
"Communication Encoding","Communication Encoding"
"Sandbox Mode?","Sandbox Mode?"
"eMaksut","eMaksut"
"Key Version","Key Version"
"Maksuturva Payment Module","Maksuturva Payment Module"
"Waiting for delayed payment confirmation from Maksuturva","Waiting for delayed payment confirmation from Maksuturva"
"Order cancelled because of error on Maksuturva return","Order cancelled because of error on Maksuturva return"
"Unknown error on maksuturva payment module.","Unknown error on maksuturva payment module."
"Value returned from Maksuturva does not match:","Value returned from Maksuturva does not match:"
"Gateway returned and empty field","Gateway returned and empty field"
"Invalid hash returned","Invalid hash returned"
"Maksuturva returned an error on your payment.","Maksuturva returned an error on your payment."
"You have cancelled your payment on Maksuturva.","You have cancelled your payment on Maksuturva."
"Payment canceled on Maksuturva","Payment canceled on Maksuturva"
"Payment confirmed by Maksuturva","Payment confirmed by Maksuturva"
"Yes","Yes"
"No","No"
"Enable","Enable"
"Disable","Disable"
"Payment canceled by Maksuturva","Payment canceled by Maksuturva"
"No change, still awaiting payment","No change, still awaiting payment"
"Payment identified by Maksuturva","Payment identified by Maksuturva"
"Invalid hash or network error","Invalid hash or network error"
"Payment method discounts","Payment method discounts"
